runner_step,actor_rank,mode,signal_mode,warmup,history_steps,history_count,history_queries,history_mean,history_std,position_center_median,position_scale_median,current_count,current_mean,current_std,valid_queries_local,weight_min,weight_p05,weight_mean,weight_p50,weight_p95,weight_max,weight_below_one_fraction,weight_above_one_fraction,residual_p05,residual_p50,residual_p95,z_low_clip_fraction,z_high_clip_fraction,positive_adv_weight_mean,negative_adv_weight_mean,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss
0,1,apply,per_h_robust_residual,1,0,0,0,0.0,0.0,nan,nan,51200,-4.472625285009854,0.6235019530947385,286,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,34.83964538574219,0.18413297832012177,0.16180725395679474,0.9858105778694153,0.011101581156253815
1,1,apply,per_h_robust_residual,0,1,51200,1024,-4.472625285009854,0.6235019530947403,-4.5004119873046875,0.6143217086791992,51200,-4.3906263250648045,0.674386727825649,372,0.0,0.3535943031311035,1.1497752666473389,1.152279019355774,2.0,2.0,0.38580644130706787,0.6141935586929321,-1.292811393737793,0.30455803871154785,2.0,0.006451612804085016,0.05688172206282616,1.112995982170105,1.2080090045928955,47.27886962890625,0.15123936533927917,0.05157920718193054,0.9995633363723755,-0.0008360309875570238
2,1,apply,per_h_robust_residual,0,2,102400,2048,-4.431625805037329,0.6507357600809894,-4.471682548522949,0.6231493949890137,51200,-4.400565584153519,0.7315384196356871,211,0.0,0.37421658635139465,1.1526490449905396,1.1420254707336426,2.0,2.0,0.3890995383262634,0.6109004616737366,-1.2515668869018555,0.2840510606765747,2.0,0.004739336669445038,0.06379146873950958,1.0763473510742188,1.2881848812103271,49.570465087890625,0.14451465010643005,0.04496853053569794,1.0056273937225342,0.009655963629484177
3,1,apply,per_h_robust_residual,0,3,153600,3072,-4.421272398076059,0.6788975564628497,-4.458003520965576,0.6441617012023926,51200,-4.401295656576403,0.672398826702366,234,0.0,0.3992161154747009,1.1497148275375366,1.1373870372772217,2.0,2.0,0.395641028881073,0.604358971118927,-1.2015677690505981,0.27477410435676575,2.0,0.0033333334140479565,0.06401709467172623,1.0976104736328125,1.2669498920440674,42.1524543762207,0.16110669076442719,0.036577675491571426,1.004598617553711,0.00205912534147501
4,1,apply,per_h_robust_residual,0,4,204800,4096,-4.416278212701145,0.6773339577555294,-4.463009834289551,0.6409148573875427,51200,-4.382158265988109,0.6475787143305891,313,0.0,0.4122588634490967,1.1429942846298218,1.119409441947937,2.0,2.0,0.4005111753940582,0.5994887948036194,-1.1754822731018066,0.2388189285993576,2.0,0.00319488812237978,0.05948881804943085,1.1289982795715332,1.1766151189804077,47.92646408081055,0.12193019688129425,0.041430700570344925,0.9886156320571899,-0.0018420815467834473
5,1,apply,per_h_robust_residual,0,5,256000,5120,-4.409454223358538,0.6716270824170504,-4.46160888671875,0.6321839094161987,51200,-4.3971322173648515,0.666161593544371,283,0.0,0.41069507598876953,1.1481001377105713,1.135213851928711,1.9996414184570312,2.0,0.3842402696609497,0.6157597303390503,-1.178609848022461,0.2704275846481323,1.999282956123352,0.004028268624097109,0.04996466264128685,1.109276533126831,1.2538437843322754,57.58808898925781,0.13837078213691711,0.04876142740249634,0.993125319480896,0.013140213675796986
6,1,apply,per_h_robust_residual,0,5,256000,5120,-4.394355609829538,0.679036476270576,-4.453753471374512,0.6309614181518555,51200,-4.363021230925806,0.6446274854844217,265,0.0,0.44123226404190063,1.1656858921051025,1.161949634552002,2.0,2.0,0.3652830123901367,0.6347169876098633,-1.1175354719161987,0.3238992989063263,2.0,0.002264150884002447,0.050716981291770935,1.1087536811828613,1.2596240043640137,45.6566047668457,0.15404349565505981,0.027464859187602997,1.0085790157318115,-0.00048316922038793564
7,1,apply,per_h_robust_residual,0,5,256000,5120,-4.3888345910017375,0.6733521135923445,-4.459174633026123,0.6283330321311951,51200,-4.358165315388469,0.6499587983482239,233,0.0,0.41785985231399536,1.1539336442947388,1.1291322708129883,2.0,2.0,0.39253219962120056,0.6074678301811218,-1.1642802953720093,0.258264422416687,2.0,0.002060085767880082,0.06051502004265785,1.1265414953231812,1.2203996181488037,60.12336349487305,0.1427883356809616,0.03347879648208618,1.0077968835830688,0.01091784331947565
8,1,apply,per_h_robust_residual,0,5,256000,5120,-4.380354537248728,0.6564688501751772,-4.457365989685059,0.6144459843635559,51200,-4.325527579504996,0.6294262655605062,207,0.0,0.5008862614631653,1.2354745864868164,1.2227451801300049,2.0,2.0,0.3176811635494232,0.6823188662528992,-0.9982274770736694,0.445490300655365,2.0,0.0014492754125967622,0.0737198069691658,1.1740779876708984,1.38589608669281,45.7358283996582,0.13170231878757477,0.03477899357676506,0.9927391409873962,0.00042976648546755314
9,1,apply,per_h_robust_residual,0,5,256000,5120,-4.365200921834447,0.6481100681820023,-4.446132659912109,0.6078411936759949,51200,-4.336516047162004,0.6185067794639796,233,0.0,0.4295687675476074,1.139656901359558,1.1174986362457275,1.971733808517456,2.0,0.4008583724498749,0.5991416573524475,-1.1408624649047852,0.23499716818332672,1.9434674978256226,0.003175965743139386,0.04532188922166824,1.097023367881775,1.2431055307388306,41.925472259521484,0.11017859727144241,0.057140544056892395,0.9858837127685547,0.006056684534996748
10,1,apply,per_h_robust_residual,0,5,256000,5120,-4.356072478069225,0.6424242173937074,-4.437070846557617,0.6094484329223633,51200,-4.325256098245736,0.6448419809735073,159,0.0,0.4467615783214569,1.2302151918411255,1.2335546016693115,2.0,2.0,0.3327043950557709,0.6672955751419067,-1.106476902961731,0.46710923314094543,2.0,0.0020125785376876593,0.09597484022378922,1.1397532224655151,1.379477620124817,43.22257614135742,0.11309918761253357,0.013903383165597916,1.0141358375549316,-0.0008391420124098659
11,1,apply,per_h_robust_residual,0,5,256000,5120,-4.341697254245402,0.6377812789595432,-4.416123390197754,0.5981867909431458,51200,-4.239774610874011,0.6490082674142091,237,0.0,0.4567118287086487,1.1906280517578125,1.181215763092041,2.0,2.0,0.34691983461380005,0.6530801653862,-1.0865763425827026,0.36243152618408203,2.0,0.0021940928418189287,0.05561181530356407,1.136535882949829,1.289152979850769,39.98017883300781,0.154057577252388,0.05049887299537659,0.9915671348571777,0.0011475635692477226
12,1,apply,per_h_robust_residual,0,5,256000,5120,-4.317047930235043,0.6397479976468636,-4.389387130737305,0.5906336307525635,51200,-4.224119227353949,0.625276743075929,266,0.0,0.495299756526947,1.2210643291473389,1.2066181898117065,2.0,2.0,0.32917293906211853,0.6708270907402039,-1.009400486946106,0.4132363796234131,2.0,0.0016541352961212397,0.06729323416948318,1.151289939880371,1.3297514915466309,47.99252700805664,0.1368238478899002,0.039611220359802246,1.0126936435699463,0.016038961708545685
13,1,apply,per_h_robust_residual,0,5,256000,5120,-4.290238712628139,0.6353366827220187,-4.363786697387695,0.5854318141937256,51200,-4.247876641501207,0.6244303715134151,164,0.0,0.5077825784683228,1.2486116886138916,1.245347023010254,2.0,2.0,0.31365853548049927,0.6863414645195007,-0.9844347834587097,0.49069392681121826,2.0,0.0015853658551350236,0.0890243873000145,1.1197627782821655,1.3839030265808105,37.79215621948242,0.12867940962314606,0.044553302228450775,0.9848468899726868,0.0020573099609464407
