timestamp,driver_alive,host_mem_available_kib,cgroup_memory_current_bytes,cgroup_oom,cgroup_oom_kill,mem_psi_some_avg10,mem_psi_full_avg10,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct
2026-08-24T03:42:09+00:00,1,2021266116,10862592,0,0,0.00,0.00,5,0,5,0
2026-08-24T03:42:19+00:00,1,2016734156,694013952,0,0,0.00,0.00,5,0,5,0
2026-08-24T03:42:29+00:00,1,2013257324,859189248,0,0,0.00,0.00,1070,0,1070,0
2026-08-24T03:42:39+00:00,1,2000683208,859557888,0,0,0.00,0.00,1690,0,1690,0
2026-08-24T03:42:50+00:00,1,1989234500,859410432,0,0,0.00,0.00,1690,0,1690,0
2026-08-24T03:43:00+00:00,1,1983691812,859533312,0,0,0.00,0.00,1690,0,1690,0
2026-08-24T03:43:10+00:00,1,1988264776,859602944,0,0,0.00,0.00,1690,0,1690,0
2026-08-24T03:43:20+00:00,1,2003214824,859467776,0,0,0.00,0.00,11450,0,12094,0
2026-08-24T03:43:31+00:00,1,2000803120,861003776,0,0,0.00,0.00,12052,0,12440,0
2026-08-24T03:43:41+00:00,1,1998220660,860938240,0,0,0.00,0.00,16320,0,16708,69
2026-08-24T03:43:51+00:00,1,1995626912,861036544,0,0,0.00,0.00,17842,0,18028,3
2026-08-24T03:44:02+00:00,1,1995119832,861118464,0,0,0.00,0.00,18868,84,19162,49
2026-08-24T03:44:12+00:00,1,1995046928,860831744,0,0,0.00,0.00,18868,84,19162,99
2026-08-24T03:44:22+00:00,1,1994969484,861220864,0,0,0.00,0.00,18868,0,19162,0
2026-08-24T03:44:32+00:00,1,1994918460,861171712,0,0,0.00,0.00,18868,0,19162,0
2026-08-24T03:44:43+00:00,1,1994863116,860966912,0,0,0.00,0.00,18868,66,19162,40
2026-08-24T03:44:53+00:00,1,1996220804,861134848,0,0,0.00,0.00,18868,99,12908,100
2026-08-24T03:45:03+00:00,1,1996656056,861442048,0,0,0.00,0.00,12016,0,12310,0
2026-08-24T03:45:14+00:00,1,1993193232,861904896,0,0,0.00,0.00,15532,0,15826,0
2026-08-24T03:45:24+00:00,1,1991450872,861941760,0,0,0.00,0.00,17052,0,17144,3
2026-08-24T03:45:34+00:00,1,1989798036,861700096,0,0,0.00,0.00,18868,82,18410,0
2026-08-24T03:45:44+00:00,1,1989729216,861650944,0,0,0.00,0.00,18868,66,19162,0
2026-08-24T03:45:55+00:00,1,1989798508,861868032,0,0,0.00,0.00,18868,0,19162,51
2026-08-24T03:46:05+00:00,1,1989722636,861634560,0,0,0.00,0.00,18868,79,19162,0
2026-08-24T03:46:15+00:00,1,1989694704,861843456,0,0,0.00,0.00,18868,97,19162,44
2026-08-24T03:46:26+00:00,1,1989882424,861995008,0,0,0.00,0.00,12614,3,19162,0
2026-08-24T03:46:36+00:00,1,1993108284,861655040,0,0,0.00,0.00,12614,0,19162,100
2026-08-24T03:46:46+00:00,1,1996577640,861937664,0,0,0.00,0.00,12016,0,12310,0
2026-08-24T03:46:57+00:00,1,1993891336,861880320,0,0,0.00,0.00,15532,0,15826,2
2026-08-24T03:47:07+00:00,1,1991369928,861892608,0,0,0.00,0.00,17052,0,16888,4
2026-08-24T03:47:17+00:00,1,1989472408,861990912,0,0,0.00,0.00,18868,42,18514,66
2026-08-24T03:47:27+00:00,1,1989906324,861876224,0,0,0.00,0.00,18868,14,19162,0
2026-08-24T03:47:38+00:00,1,1989625936,862130176,0,0,0.00,0.00,18868,0,19162,98
2026-08-24T03:47:48+00:00,1,1989186692,861798400,0,0,0.00,0.00,18868,59,19162,95
2026-08-24T03:47:58+00:00,1,1989573104,861851648,0,0,0.00,0.00,18868,91,19162,0
2026-08-24T03:48:09+00:00,1,1989576396,861876224,0,0,0.00,0.00,18868,59,19162,0
2026-08-24T03:48:19+00:00,1,1993884536,862011392,0,0,0.00,0.00,11984,1,12278,1
2026-08-24T03:48:29+00:00,1,1992222476,862183424,0,0,0.00,0.00,12710,3,13004,1
2026-08-24T03:48:40+00:00,1,1989333848,862060544,0,0,0.00,0.00,16594,0,16888,0
2026-08-24T03:48:50+00:00,1,1987582944,862158848,0,0,0.00,0.00,18868,94,19162,0
2026-08-24T03:49:00+00:00,1,1987537652,862224384,0,0,0.00,0.00,18868,0,19162,0
2026-08-24T03:49:10+00:00,1,1987501060,862179328,0,0,0.00,0.00,18868,99,19162,100
2026-08-24T03:49:21+00:00,1,1987504052,862076928,0,0,0.00,0.00,18868,0,19162,73
2026-08-24T03:49:31+00:00,1,1987530108,862257152,0,0,0.00,0.00,18868,100,19162,68
2026-08-24T03:49:41+00:00,1,1993911684,862511104,0,0,0.00,0.00,11990,2,12260,0
2026-08-24T03:49:51+00:00,1,1992621364,862105600,0,0,0.00,0.00,12326,0,12620,0
2026-08-24T03:50:02+00:00,1,1989719388,862154752,0,0,0.00,0.00,16594,0,16888,3
2026-08-24T03:50:12+00:00,1,1987230636,862285824,0,0,0.00,0.00,18220,89,18410,0
2026-08-24T03:50:22+00:00,1,1987164256,862142464,0,0,0.00,0.00,18868,85,19162,100
2026-08-24T03:50:32+00:00,1,1987152436,862334976,0,0,0.00,0.00,18868,0,19162,0
2026-08-24T03:50:43+00:00,1,1987140412,862253056,0,0,0.00,0.00,18868,49,19162,65
2026-08-24T03:50:53+00:00,1,1987207692,862212096,0,0,0.00,0.00,18868,69,19162,98
2026-08-24T03:51:03+00:00,1,1990547968,862306304,0,0,0.00,0.00,12614,0,12908,100
2026-08-24T03:51:14+00:00,1,1993249884,862158848,0,0,0.00,0.00,12326,0,12620,0
2026-08-24T03:51:24+00:00,1,1991133220,862117888,0,0,0.00,0.00,16242,0,16280,0
2026-08-24T03:51:34+00:00,1,1988238436,862240768,0,0,0.00,0.00,17658,2,18208,1
2026-08-24T03:51:44+00:00,1,1987920332,862404608,0,0,0.00,0.00,18868,24,19162,100
2026-08-24T03:51:55+00:00,1,1987901204,862175232,0,0,0.00,0.00,18868,0,19162,100
2026-08-24T03:52:05+00:00,1,1987896612,862199808,0,0,0.00,0.00,18868,0,19162,0
2026-08-24T03:52:15+00:00,1,1987881668,862498816,0,0,0.00,0.00,18868,84,19162,0
