runner_step,actor_rank,mode,signal_mode,warmup,history_steps,history_count,history_queries,history_mean,history_std,position_center_median,position_scale_median,current_count,current_mean,current_std,valid_queries_local,weight_min,weight_p05,weight_mean,weight_p50,weight_p95,weight_max,weight_below_one_fraction,weight_above_one_fraction,residual_p05,residual_p50,residual_p95,z_low_clip_fraction,z_high_clip_fraction,positive_adv_weight_mean,negative_adv_weight_mean,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss,global_step
0,0,apply,per_h_robust_residual,1,0,0,0,0.0,0.0,,,51200,-4.423609437821433,0.639531974082355,237,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39.27231979370117,0.1501936018466949,0.12156543135643,1.0045292377471924,0.0107695851475,1
1,0,apply,per_h_robust_residual,0,1,51200,1024,-4.423609437821433,0.639531974082362,-4.470353126525879,0.6069532632827759,51200,-4.389597834816668,0.6539578012523979,290,0.5,0.6729082465171814,0.9842073917388916,1.0242414474487305,1.1903480291366575,1.2000000476837158,0.4028965532779693,0.597103476524353,-1.3083668947219849,0.2424143850803375,1.9034796953201292,0.0057931034825742,0.0406206883490085,0.978384256362915,0.9946218132972716,38.010963439941406,0.1335940062999725,0.0437088087201118,1.0105571746826172,0.005255670286715,2
2,0,apply,per_h_robust_residual,0,2,102400,2048,-4.40660363631905,0.6470086345104008,-4.44789457321167,0.6165252327919006,51200,-4.389848171594785,0.6890082697460194,324,0.5,0.6836673021316528,0.9838647842407228,1.0218337774276731,1.1967084407806396,1.2000000476837158,0.4119135737419128,0.5880864262580872,-1.2653305530548096,0.2183379828929901,1.96708345413208,0.0032716048881411,0.0473456792533397,0.9786557555198668,0.9903761744499208,44.16446304321289,0.1556043922901153,0.0507508143782615,0.995339035987854,0.00713946018368,3
3,0,apply,per_h_robust_residual,0,3,153600,3072,-4.401018481410962,0.6613521265237648,-4.440747261047363,0.6295989751815796,51200,-4.374157278408675,0.6682829531428861,268,0.5,0.7021545767784119,1.0048115253448486,1.0375909805297852,1.2000000476837158,1.2000000476837158,0.3600000143051147,0.6399999856948853,-1.191381573677063,0.375909149646759,2.0,0.0048507461324334,0.0764179080724716,0.9885745048522948,1.027427315711975,46.17745971679688,0.1269328296184539,0.0318716317415237,1.0002052783966064,0.0057127466425299,4
4,0,apply,per_h_robust_residual,0,4,204800,4096,-4.394303180660391,0.6631936282873846,-4.434177398681641,0.631365180015564,51200,-4.381167614564765,0.6352505024299584,265,0.5,0.7005513310432434,0.9927325248718262,1.024979829788208,1.2000000476837158,1.2000000476837158,0.3910188674926758,0.6089811325073242,-1.1977949142456057,0.2497987151145935,2.0,0.0025660376995801,0.0537358485162258,0.986847758293152,1.0030921697616575,29.716089248657227,0.1368496716022491,0.0209205169230699,1.0159616470336914,-0.0004832803970202,5
5,0,apply,per_h_robust_residual,0,5,256000,5120,-4.391676067441265,0.6577209727108891,-4.437694549560547,0.6271839141845703,51200,-4.408825195219833,0.6177278000835846,257,0.5,0.6990153193473816,0.9863117337226868,1.0214083194732666,1.198121190071106,1.2000000476837158,0.4119065999984741,0.5880934000015259,-1.2039387226104736,0.2140828371047973,1.9812116622924805,0.0022568092681467,0.0485603101551532,0.973658561706543,1.021479606628418,29.378421783447266,0.1098142862319946,0.0441101342439651,0.9936603307724,0.0007661884883418,6
6,0,apply,per_h_robust_residual,0,5,256000,5120,-4.388719218920945,0.6534219948111756,-4.447086334228516,0.6280046701431274,51200,-4.372751142219641,0.6381117286566997,235,0.5,0.7067042589187622,0.9987924098968506,1.0310020446777344,1.2000000476837158,1.2000000476837158,0.3777872323989868,0.6222127676010132,-1.1731829643249512,0.3100215792655945,2.0,0.0030638298485428,0.0593191497027874,0.9856027960777284,1.026386260986328,33.81541061401367,0.1293120980262756,0.0301609765738248,1.000861883163452,0.002899169921875,7
7,0,apply,per_h_robust_residual,0,5,256000,5120,-4.38534988040154,0.6503114229725159,-4.448101997375488,0.6274573802947998,51200,-4.346528386864812,0.6419686751135348,208,0.5,0.7178956866264343,1.0073373317718506,1.0390386581420898,1.2000000476837158,1.2000000476837158,0.3482692241668701,0.6517307758331299,-1.1284171342849731,0.3903873860836029,2.0,0.0018269231077283,0.0587499998509883,1.0000815391540527,1.0236631631851196,27.99327278137207,0.1056618243455886,0.0159004069864749,1.0039020776748655,-0.0054342737421393,8
8,0,apply,per_h_robust_residual,0,5,256000,5120,-4.376685923455545,0.6407850920984951,-4.440138816833496,0.6149792075157166,51200,-4.311447994098999,0.6155920600184361,318,0.5,0.7155594825744629,1.000700831413269,1.030259609222412,1.2000000476837158,1.2000000476837158,0.372012585401535,0.6279874444007874,-1.137762188911438,0.3025953471660614,2.0,0.0025786163751035,0.0627672970294952,0.9906707406044006,1.016392946243286,44.476348876953125,0.141735553741455,0.0391485020518302,0.9934695959091188,0.003485586028546,9
9,0,apply,per_h_robust_residual,0,5,256000,5120,-4.364144066593609,0.6306888698380523,-4.4293212890625,0.6083263158798218,51200,-4.32109360183822,0.5888981641395247,285,0.5,0.7370848059654236,1.0062819719314575,1.0338680744171145,1.1965709924697876,1.2000000476837158,0.3563508689403534,0.6436491012573242,-1.0516607761383057,0.3386808037757873,1.965709209442139,0.0023859648499637,0.0465263165533542,1.0023066997528076,1.0157943964004517,33.865074157714844,0.1184467002749443,0.0295388996601104,0.9982677698135376,0.0081502338871359,10
