runner_step,actor_rank,mode,signal_mode,warmup,history_steps,history_count,history_queries,history_mean,history_std,position_center_median,position_scale_median,current_count,current_mean,current_std,valid_queries_local,weight_min,weight_p05,weight_mean,weight_p50,weight_p95,weight_max,weight_below_one_fraction,weight_above_one_fraction,residual_p05,residual_p50,residual_p95,z_low_clip_fraction,z_high_clip_fraction,positive_adv_weight_mean,negative_adv_weight_mean,actor_grad_norm,actor_clip_fraction,actor_approx_kl,actor_ratio,actor_policy_loss
0,0,apply,per_h_robust_residual,1,0,0,0,0.0,0.0,nan,nan,51200,-4.423609437821433,0.639531974082355,237,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39.27231979370117,0.15019360184669495,0.12156543135643005,1.0045292377471924,0.010769585147500038
1,0,apply,per_h_robust_residual,0,1,51200,1024,-4.423609437821433,0.639531974082362,-4.470353126525879,0.6069532632827759,51200,-4.389597834816668,0.6539578012523979,290,0.5,0.6729082465171814,0.9842073917388916,1.0242414474487305,1.1903480291366577,1.2000000476837158,0.40289655327796936,0.597103476524353,-1.3083668947219849,0.24241438508033752,1.9034796953201294,0.0057931034825742245,0.04062068834900856,0.978384256362915,0.9946218132972717,38.010963439941406,0.13359400629997253,0.04370880872011185,1.0105571746826172,0.005255670286715031
2,0,apply,per_h_robust_residual,0,2,102400,2048,-4.40660363631905,0.6470086345104008,-4.44789457321167,0.6165252327919006,51200,-4.389848171594785,0.6890082697460194,324,0.5,0.6836673021316528,0.9838647842407227,1.0218337774276733,1.1967084407806396,1.2000000476837158,0.41191357374191284,0.5880864262580872,-1.2653305530548096,0.2183379828929901,1.96708345413208,0.0032716048881411552,0.04734567925333977,0.9786557555198669,0.9903761744499207,44.16446304321289,0.15560439229011536,0.050750814378261566,0.995339035987854,0.0071394601836800575
3,0,apply,per_h_robust_residual,0,3,153600,3072,-4.401018481410962,0.6613521265237648,-4.440747261047363,0.6295989751815796,51200,-4.374157278408675,0.6682829531428861,268,0.5,0.7021545767784119,1.0048115253448486,1.0375909805297852,1.2000000476837158,1.2000000476837158,0.36000001430511475,0.6399999856948853,-1.191381573677063,0.37590914964675903,2.0,0.0048507461324334145,0.07641790807247162,0.9885745048522949,1.027427315711975,46.177459716796875,0.12693282961845398,0.03187163174152374,1.0002052783966064,0.0057127466425299644
4,0,apply,per_h_robust_residual,0,4,204800,4096,-4.3943031806603905,0.6631936282873846,-4.434177398681641,0.631365180015564,51200,-4.381167614564765,0.6352505024299584,265,0.5,0.7005513310432434,0.9927325248718262,1.024979829788208,1.2000000476837158,1.2000000476837158,0.3910188674926758,0.6089811325073242,-1.1977949142456055,0.2497987151145935,2.0,0.0025660376995801926,0.053735848516225815,0.9868477582931519,1.0030921697616577,29.716089248657227,0.13684967160224915,0.020920516923069954,1.0159616470336914,-0.00048328039702028036
5,0,apply,per_h_robust_residual,0,5,256000,5120,-4.391676067441265,0.6577209727108891,-4.437694549560547,0.6271839141845703,51200,-4.408825195219833,0.6177278000835846,257,0.5,0.6990153193473816,0.9863117337226868,1.0214083194732666,1.198121190071106,1.2000000476837158,0.4119065999984741,0.5880934000015259,-1.2039387226104736,0.21408283710479736,1.9812116622924805,0.0022568092681467533,0.048560310155153275,0.973658561706543,1.021479606628418,29.378421783447266,0.10981428623199463,0.04411013424396515,0.9936603307723999,0.0007661884883418679
6,0,apply,per_h_robust_residual,0,5,256000,5120,-4.388719218920945,0.6534219948111756,-4.447086334228516,0.6280046701431274,51200,-4.372751142219641,0.6381117286566997,235,0.5,0.7067042589187622,0.9987924098968506,1.0310020446777344,1.2000000476837158,1.2000000476837158,0.3777872323989868,0.6222127676010132,-1.1731829643249512,0.3100215792655945,2.0,0.0030638298485428095,0.0593191497027874,0.9856027960777283,1.0263862609863281,33.81541061401367,0.12931209802627563,0.030160976573824883,1.0008618831634521,0.002899169921875
7,0,apply,per_h_robust_residual,0,5,256000,5120,-4.38534988040154,0.6503114229725159,-4.448101997375488,0.6274573802947998,51200,-4.3465283868648115,0.6419686751135348,208,0.5,0.7178956866264343,1.0073373317718506,1.0390386581420898,1.2000000476837158,1.2000000476837158,0.3482692241668701,0.6517307758331299,-1.1284171342849731,0.3903873860836029,2.0,0.001826923107728362,0.05874999985098839,1.0000815391540527,1.0236631631851196,27.99327278137207,0.10566182434558868,0.01590040698647499,1.0039020776748657,-0.0054342737421393394
8,0,apply,per_h_robust_residual,0,5,256000,5120,-4.376685923455545,0.6407850920984951,-4.440138816833496,0.6149792075157166,51200,-4.311447994098999,0.6155920600184361,318,0.5,0.7155594825744629,1.000700831413269,1.030259609222412,1.2000000476837158,1.2000000476837158,0.37201258540153503,0.6279874444007874,-1.137762188911438,0.3025953471660614,2.0,0.002578616375103593,0.06276729702949524,0.9906707406044006,1.0163929462432861,44.476348876953125,0.14173555374145508,0.03914850205183029,0.9934695959091187,0.003485586028546095
9,0,apply,per_h_robust_residual,0,5,256000,5120,-4.364144066593609,0.6306888698380523,-4.4293212890625,0.6083263158798218,51200,-4.3210936018382196,0.5888981641395247,285,0.5,0.7370848059654236,1.0062819719314575,1.0338680744171143,1.1965709924697876,1.2000000476837158,0.3563508689403534,0.6436491012573242,-1.0516607761383057,0.33868080377578735,1.9657092094421387,0.0023859648499637842,0.04652631655335426,1.0023066997528076,1.0157943964004517,33.865074157714844,0.1184467002749443,0.029538899660110474,0.9982677698135376,0.008150233887135983
10,0,apply,per_h_robust_residual,0,5,256000,5120,-4.3521292640483,0.6217623120624893,-4.413923263549805,0.5992881059646606,51200,-4.33086779311765,0.6005220431153109,128,0.5,0.7396346926689148,1.005487322807312,1.032508134841919,1.2000000476837158,1.2000000476837158,0.36000001430511475,0.6399999856948853,-1.0414612293243408,0.32508230209350586,2.0,0.0014062500558793545,0.055156249552965164,0.9999558925628662,1.022081732749939,21.69876480102539,0.08257125318050385,0.020003167912364006,1.0007500648498535,-0.002808357123285532
11,0,apply,per_h_robust_residual,0,5,256000,5120,-4.336537783627864,0.6177383107763241,-4.397029399871826,0.5950229167938232,51200,-4.19983074079646,0.6471196226692942,348,0.5,0.7385004162788391,1.0163512229919434,1.0422163009643555,1.2000000476837158,1.2000000476837158,0.32959771156311035,0.6704022884368896,-1.0459983348846436,0.42216259241104126,2.0,0.001494252821430564,0.07982758432626724,0.9991135597229004,1.040771245956421,46.89915466308594,0.1566181778907776,0.0507161021232605,0.9900311231613159,0.013341369107365608
12,0,apply,per_h_robust_residual,0,5,256000,5120,-4.301953703343228,0.6214462882618159,-4.361681938171387,0.5906861424446106,51200,-4.181654867546167,0.6221314963030855,215,0.5,0.7625913619995117,1.0316425561904907,1.0524976253509521,1.2000000476837158,1.2000000476837158,0.294511616230011,0.705488383769989,-0.9496346712112427,0.5249762535095215,2.0,0.0013023256324231625,0.1159069761633873,1.0131304264068604,1.0563925504684448,37.16465759277344,0.12477917969226837,0.009473146870732307,1.0184996128082275,-0.0007778551080264151
13,0,apply,per_h_robust_residual,0,5,256000,5120,-4.268978999479499,0.6185385221384009,-4.338798999786377,0.5865268707275391,51200,-4.208326295013539,0.5831261194155164,234,0.5,0.733160674571991,1.0049104690551758,1.0329747200012207,1.2000000476837158,1.2000000476837158,0.3557265102863312,0.6442735195159912,-1.0673573017120361,0.32974714040756226,2.0,0.0023076923098415136,0.052820511162281036,0.9955638647079468,1.0259395837783813,35.0042839050293,0.11619500070810318,0.025786835700273514,1.0077687501907349,-0.0026589175686240196
