run,step,success_pct,approx_kl,clip_pct,grad_norm,step_min,success_roll5_pct,success_roll10_pct
"DVAC global-z [0,2]",1,80.46875,0.147,21.0,38.747,26.045,80.46875,80.46875
"DVAC global-z [0,2]",2,77.734375,0.074,15.8,39.435,25.26833333333333,79.1015625,79.1015625
"DVAC global-z [0,2]",3,73.828125,0.067,17.599999999999998,55.634,25.28166666666667,77.34375,77.34375
"DVAC global-z [0,2]",4,80.859375,0.047,16.0,46.522,25.153333333333332,78.22265625,78.22265625
"DVAC global-z [0,2]",5,84.375,0.059,17.9,43.753,24.965,79.453125,79.453125
"DVAC global-z [0,2]",6,86.71875,0.029,14.899999999999999,48.605,24.833333333333332,80.703125,80.6640625
"DVAC global-z [0,2]",7,83.59375,0.041,10.5,38.675,24.803333333333335,81.875,81.08258928571429
"DVAC global-z [0,2]",8,85.9375,0.055,15.1,41.559,25.0,84.296875,81.689453125
"DVAC global-z [0,2]",9,87.109375,0.045,17.7,32.608,25.353333333333335,85.546875,82.29166666666667
"DVAC global-z [0,2]",10,84.765625,0.041,12.8,53.326,25.171666666666667,85.625,82.5390625
"DVAC global-z [0,2]",11,89.0625,0.028,10.4,39.498,24.373333333333335,86.09375,83.3984375
"DVAC global-z [0,2]",12,86.328125,0.026,12.3,34.073,24.92,86.640625,84.2578125
"DVAC global-z [0,2]",13,82.421875,0.05,18.5,41.59,24.881666666666668,85.9375,85.1171875
"DVAC global-z [0,2]",14,89.84375,0.073,15.4,41.043,24.68,86.484375,86.015625
"DVAC global-z [0,2]",15,84.375,0.042,18.5,43.523,24.708333333333332,86.40625,86.015625
"DVAC global-z [0,2]",16,90.625,0.017,16.6,30.459,24.175,86.71875,86.40625
"DVAC global-z [0,2]",17,88.671875,0.051,19.400000000000002,25.705,24.886666666666667,87.1875,86.9140625
"DVAC global-z [0,2]",18,91.40625,0.031,15.0,31.204,24.565,88.984375,87.4609375
"DVAC global-z [0,2]",19,92.578125,0.04,17.599999999999998,34.348,24.43,89.53125,88.0078125
"DVAC global-z [0,2]",20,88.28125,0.093,17.599999999999998,33.601,25.16166666666667,90.3125,88.359375
"DVAC global-z [0,2]",21,94.140625,0.087,18.5,34.817,24.705,91.015625,88.8671875
"DVAC global-z [0,2]",22,91.796875,0.029,10.9,32.592,24.740000000000002,91.640625,89.4140625
"DVAC global-z [0,2]",23,95.3125,0.053,17.0,30.366,24.32,92.421875,90.703125
"DVAC global-z [0,2]",24,87.890625,0.042,10.7,29.747,24.740000000000002,91.484375,90.5078125
"DVAC global-z [0,2]",25,96.875,0.098,17.2,31.638,24.415000000000003,93.203125,91.7578125
"DVAC global-z [0,2]",26,94.140625,0.017,5.6000000000000005,17.051,24.1,93.203125,92.109375
"DVAC global-z [0,2]",27,90.625,0.034,15.5,42.11,24.698333333333334,92.96875,92.3046875
"DVAC global-z [0,2]",28,91.40625,0.074,16.0,32.894,24.616666666666667,92.1875,92.3046875
"DVAC global-z [0,2]",29,94.140625,0.022,11.799999999999999,29.77,24.325,93.4375,92.4609375
"DVAC global-z [0,2]",30,90.234375,0.025,15.5,40.128,24.75,92.109375,92.65625
"DVAC global-z [0,2]",31,92.578125,0.059,23.599999999999998,34.516,24.521666666666665,91.796875,92.5
"DVAC global-z [0,2]",32,95.3125,0.055,17.4,21.158,24.256666666666668,92.734375,92.8515625
"DVAC global-z [0,2]",33,90.234375,0.016,13.100000000000001,28.381,24.311666666666667,92.5,92.34375
