episode_key,source_kind,source_root,run_id,policy,checkpoint,task,cohort_id,group_id,episode_uid,episode_id,reset_id,source_seed,source_seed_provenance,success,first_success_action_slot,first_success_query,terminal_success_video_frame,any_success_after,queries,total_action_slots,episode_mean_S_raw,episode_median_S_raw,episode_mean_S_std,episode_median_S_std,episode_min_S_std,episode_max_S_std,episode_mean_abs_I_raw,episode_mean_abs_I_std,episode_mean_abs_R_std,video_path,query_scope,representative,selection_reason
pi0-adjust_bottle-fixed64-800baf80-v1::ep000000_reset100100052,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000000_reset100100052,0,100100052,100100052.0,payload_reset_id,True,,,,False,4,200,-0.3090080093766824,-0.11682558322744696,-0.4983281358999759,-0.18747060683661312,-1.5514366853406816,-0.06693464458599568,0.27343706806733153,0.43756666416951,0.6992176665319386,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000001_reset100100066,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000001_reset100100066,1,100100066,100100066.0,payload_reset_id,True,,,,False,4,200,-0.46872823191154767,-0.37360674840676467,-0.7476798687985018,-0.5818218037984632,-1.7330348949773708,-0.09404097261971021,0.3133536861509079,0.5079545706204763,0.8910125628541989,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000002_reset100100113,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000002_reset100100113,2,100100113,100100113.0,payload_reset_id,True,,,,False,4,200,-0.3215224280180523,-0.3314773637810912,-0.5197058639552714,-0.534309608557946,-1.2590205021235228,0.2488162634183291,0.35031857529171034,0.5410136954307656,0.9177786841516795,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000003_reset100100088,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000003_reset100100088,3,100100088,100100088.0,payload_reset_id,False,,,,False,4,200,0.06653633674139228,0.04130144330051468,0.0880955457858148,0.05022343524346447,-0.23276806372652983,0.48470337638286004,0.3144999015761362,0.4940375974390677,0.5312589775509853,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000004_reset100100043,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000004_reset100100043,4,100100043,100100043.0,payload_reset_id,False,,,,False,4,200,-0.08984174869956335,-0.1969932893645186,-0.13692442559958884,-0.3073288173959675,-0.5771382822210461,0.6440982146146258,0.3306097497653896,0.5248169937362878,0.6805550807779714,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000005_reset100100081,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000005_reset100100081,5,100100081,100100081.0,payload_reset_id,False,,,,False,4,200,0.9925679844977275,1.06265900671856,1.5489302425245846,1.6587783290247775,0.6634303753843984,2.214733936664385,0.3973077023664572,0.6085124304850038,1.6054114196796805,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000006_reset100100144,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000006_reset100100144,6,100100144,100100144.0,payload_reset_id,True,,,,False,4,200,-0.1370116663349769,-0.21187869300241513,-0.1808852574173254,-0.3354510793104197,-0.7818935522413617,0.7292546811928995,0.36730552218373574,0.6057727493506593,0.7757900270065294,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000007_reset100100098,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000007_reset100100098,7,100100098,100100098.0,payload_reset_id,True,,,,False,4,200,-0.09472773277824797,-0.23497897413495805,-0.12044069292669154,-0.3495706458196953,-0.5099984420708253,0.7273769620034498,0.318912750026087,0.5202892960552516,0.7172807540505689,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000008_reset100100058,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000008_reset100100058,8,100100058,100100058.0,payload_reset_id,False,,,,False,4,200,0.21611334926790493,0.28949592804255686,0.3187145472051811,0.4190739116660108,-0.30842800802941783,0.7451383735181206,0.4139476358452471,0.6454070647423343,0.7729822302605003,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
pi0-adjust_bottle-fixed64-800baf80-v1::ep000009_reset100100130,pi0,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry,pi0-adjust_bottle-fixed64-800baf80-v1,pi0,92684e50c8a3dcf13b76a06713e3152625967be1,adjust_bottle,pi0-adjust_bottle-fixed64-800baf80-v1,pi0__adjust_bottle__run-pi0-adjust_bottle-fixed64-800baf__cohort-pi0-adjust_bottle-fixed6__92684e50c8a3dcf13b76a06713e31526-46b40fae,ep000009_reset100100130,9,100100130,100100130.0,payload_reset_id,False,,,,False,4,200,0.18203330649270705,0.17600033416254393,0.30875342531557454,0.3196941100562818,-0.07681624887468587,0.6724417300244205,0.37476822166966745,0.6236780679816613,0.7390457050603119,/data/chenyiteng/results/dvac-observation/pi0-adjust_bottle-fixed64-800baf80-v1/dvac_telemetry/seed_0/0.mp4,all_queries_descriptive,False,
