unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_high_events,cgroup_max_events,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_util_pct,gpu1_used_mib,gpu1_util_pct,env_rss_kib,actor_rss_kib,rollout_rss_kib,driver_rss_kib,ray_system_rss_kib,matched_total_rss_kib,compute_process_count
1785382645,1.05434e+12,206487306240,315019264,204354961408,78418,1409108,0,0,589824,885135859712,0,0,0,0,1348,1420,1352,3132,1416,27568,0
1785382647,1.05402e+12,206823301120,643219456,204354965504,78418,1409108,0,0,589824,885135859712,0,0,0,0,1388,1376,1376,3132,1328,563500,0
1785382649,1.05358e+12,207265591296,1082122240,204354973696,78418,1409108,0,0,589824,885135855616,0,0,0,0,1420,1380,1420,3132,1388,1045504,0
1785382652,1.05364e+12,207634718720,1401548800,204354994176,78418,1409108,0,0,610304,885135855616,4,0,4,0,1416,1392,1384,3132,1392,1401676,0
1785382654,1.05341e+12,207878582272,1642491904,204354998272,78418,1409108,0,0,610304,885135912960,4,0,4,0,1448,1372,1388,3132,236816,1707344,0
1785382656,1.05259e+12,208680235008,2437431296,204355022848,78418,1409108,0,0,610304,885135912960,4,0,4,0,1420,1396,1452,3132,945636,2319432,0
1785382658,1.05138e+12,209548398592,3272949760,204356317184,78418,1409108,0,0,622592,885135912960,4,0,4,0,1392,1384,1332,3132,1062532,2556336,0
1785382661,1.04949e+12,211523854336,5167067136,204356530176,78418,1409108,0,0,622592,885135912960,4,0,4,0,1428,1412,1396,3132,1081284,5898672,0
1785382663,1.0465e+12,214549770240,8148029440,204356874240,78418,1409108,0,0,622592,885135880192,4,0,4,0,1348,1348,1392,3132,1101248,11796908,0
1785382665,1.04411e+12,216930799616,10511613952,204356919296,78418,1409108,0,0,622592,885135880192,4,0,4,0,1368,1392,1392,3132,1106120,13851872,0
1785382667,1.04191e+12,218972086272,12508831744,204373749760,78418,1409108,0,0,663552,885135880192,447,0,447,0,1376,1380,1880692,3132,1110052,15966492,2
1785382669,1.04037e+12,220551000064,13850288128,204373889024,78418,1409108,0,0,745472,885135876096,447,0,447,0,2875368,1340,3156748,3132,1115856,17792936,2
1785382672,1.03987e+12,221051142144,14345113600,204373962752,78418,1409108,0,0,745472,885135872000,447,1,447,0,3361232,1380,3360708,3132,1118712,18511696,3
1785382675,1.03706e+12,223642419200,16914886656,204390756352,78418,1409108,0,0,745472,885135872000,950,1,909,0,4328140,1376,5525796,3132,1119964,21668500,6
1785382677,1.03569e+12,225001803776,18266353664,204390756352,78418,1409108,0,0,745472,885135872000,950,0,987,0,4336348,1368,6639628,3132,1120812,22749812,6
1785382679,1.03573e+12,224946946048,18206072832,204394942464,78418,1409108,0,0,745472,885135872000,1005,0,947,0,4134224,1368,6640312,3132,1121348,22543764,5
1785382681,1.03401e+12,226726584320,19986497536,204394934272,78418,1409108,0,0,745472,885135872000,947,0,947,0,3899228,1448,8664548,3132,1121864,24387128,4
1785382684,1.03122e+12,229518163968,22771888128,204394934272,78418,1409108,0,0,745472,885135872000,947,0,947,0,3899860,1396,11374980,3132,1122000,27090760,4
1785382686,1.02805e+12,232699293696,25946075136,204394934272,78418,1409108,0,0,745472,885135872000,947,0,947,0,3899792,1380,14471488,3132,1122568,30189256,4
1785382688,1.02483e+12,235920232448,29165379584,204394934272,78418,1409108,0,0,745472,885135872000,947,0,947,0,3899748,1348,17620064,3132,1123936,33339868,4
1785382690,1.02166e+12,239084527616,32324141056,204394934272,78418,1409108,0,0,745472,885135872000,947,0,947,0,3899784,1424,20655836,3132,1124132,36384672,4
1785382693,1.01851e+12,242233548800,35464970240,204394934272,78418,1409108,0,0,745472,885135872000,947,0,947,0,3899756,1348,23770020,3132,1124432,39494528,4
1785382695,1.01577e+12,244958425088,38183968768,204394934272,78418,1409108,0,0,745472,885135872000,947,0,947,0,3899760,1360,26259544,3132,1124716,41938260,4
1785382697,1.01575e+12,244977836032,38201061376,204394938368,78418,1409108,0,0,745472,885135872000,947,0,947,0,3899832,1364,26259548,3132,1124604,41938136,4
1785382699,1.01575e+12,244979044352,38201262080,204394938368,78418,1409108,0,0,745472,885135872000,947,0,947,0,3899764,1376,26259540,3132,1124608,41938396,4
1785382702,1.01574e+12,244979724288,38202490880,204394942464,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899796,1344,26259572,3132,1125948,41939660,4
1785382704,1.01574e+12,244981403648,38204416000,204394942464,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899760,1384,26259532,3132,1126096,41939628,4
1785382706,1.01573e+12,244981866496,38204223488,204394942464,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899780,1328,26330220,3132,1126196,42034440,4
1785382708,1.01315e+12,247569858560,40792784896,204394942464,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899828,1348,28989740,3132,1125832,44714240,4
1785382711,1.01151e+12,249204473856,42418786304,204394942464,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899780,1328,30373824,3132,1125912,46054184,4
1785382713,1.01458e+12,246137495552,39361761280,204394942464,78418,1409108,0,0,745472,885135867904,947,0,947,0,3899780,1364,27499980,3132,1126088,43225852,4
