timestamp,cgroup_ram_mb,cgroup_limit_mb,cgroup_ram_pct,shm_used_mb,gpu0_memory_mb,gpu0_util_pct,gpu0_power_w,gpu1_memory_mb,gpu1_util_pct,gpu1_power_w,gpu_total_memory_mb,env_rss_mb,actor_rss_mb,rollout_rss_mb,driver_rss_mb,ray_system_rss_mb,top_pid,top_rss_mb,top_command,cgroup_oom,cgroup_oom_kill
2026-07-28 18:54:12,220111,245760,89.56,0,4,0,57.85,4,0,59.06,8,0,0,0,25.8,0,69834,514.4,/root/autodl-tmp/RLinf/.venv/bin/python /root/autodl-tmp/RLinf/.venv/lib/python3.11/site-packages/torch/_inductor/compile_worker/__main__.py --workers=32 --parent=69763 --read-fd=10 --write-fd=13,0,0
2026-07-28 18:54:14,220109,245760,89.56,0,0,0,57.63,0,0,59.12,0,0,0,0,544.7,0,70062,544.7,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
2026-07-28 18:54:17,220501,245760,89.72,0,0,0,57.97,0,0,59.18,0,0,0,0,985.6,0,70062,985.6,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
2026-07-28 18:54:19,220855,245760,89.87,0,4,0,58.03,4,0,60.74,8,0,0,0,1320.0,0,70062,1320.0,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
2026-07-28 18:54:21,220947,245760,89.9,0,4,0,57.79,4,0,59.0,8,0,0,0,1434.0,0,70062,1434.0,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
2026-07-28 18:54:23,221766,245760,90.24,0,4,0,57.73,4,0,58.94,8,0,0,0,1445.5,811.1,70062,1445.5,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
2026-07-28 18:54:25,222678,245760,90.61,0,4,0,57.73,4,0,58.94,8,0,0,0,1455.3,1033.8,70062,1455.3,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
2026-07-28 18:54:27,223830,245760,91.08,0,4,0,67.28,4,0,70.57,8,0,0,0,1457.5,2588.0,70062,1457.5,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
2026-07-28 18:54:29,224779,245760,91.46,0,4,0,57.73,4,0,59.0,8,0,0,0,1472.4,1430.3,70062,1472.4,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
2026-07-28 18:54:31,228222,245760,92.86,0,4,0,57.79,4,0,59.28,8,0,0,0,1473.6,1075.4,70062,1473.6,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
2026-07-28 18:54:33,230408,245760,93.75,0,4,0,57.67,4,0,59.22,8,0,0,1321.7,1473.7,1079.3,70062,1473.7,/root/autodl-tmp/RLinf/.venv/bin/python -B /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/train_embodied_agent.py --config-path /root/autodl-tmp/RLinf_fastwam_rlinf/examples/embodiment/config --config-name robotwin_adjust_bottle_dsrl_openpi runner.logger.log_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1 runner.logger.experiment_name=robotwin_adjust_bottle_dsrl_openpi_a800_2gpu_formal_v1 runner.max_steps=650 runner.val_check_interval=13 runner.save_interval=65 runner.resume_dir=null runner.ckpt_path=null env.train.video_cfg.save_video=false env.train.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/train env.train.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/train env.eval.video_cfg.save_video=false env.eval.video_cfg.video_base_dir=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/video/eval env.eval.task_config.save_path=/root/autodl-tmp/RLinf_fastwam_rlinf/logs/20260728_dsrl_pi0_robotwin_n20_formal_v1/robotwin_data/eval,0,0
