step,s0p5_raw_pct,s0p5_ma5_pct,s0p5_ma10_pct,s2p0_raw_pct,s2p0_ma5_pct,s2p0_ma10_pct
1,0.0,0.0,0.0,25.0,25.0,25.0
2,50.0,25.0,25.0,12.5,18.75,18.75
3,12.5,20.833333333333332,20.833333333333332,12.5,16.666666666666668,16.666666666666668
4,0.0,15.625,15.625,25.0,18.75,18.75
5,0.0,12.5,12.5,12.5,17.5,17.5
6,12.5,15.0,12.5,12.5,15.0,16.666666666666668
7,12.5,7.5,12.5,0.0,12.5,14.285714285714286
8,0.0,5.0,10.9375,25.0,15.0,15.625
9,25.0,10.0,12.5,25.0,15.0,16.666666666666668
10,12.5,12.5,12.5,12.5,15.0,16.25
11,0.0,10.0,12.5,12.5,15.0,15.0
12,12.5,10.0,8.75,0.0,15.0,13.75
13,50.0,20.0,12.5,25.0,15.0,15.0
14,12.5,17.5,13.75,12.5,12.5,13.75
15,0.0,15.0,13.75,0.0,10.0,12.5
16,0.0,15.0,12.5,0.0,7.5,11.25
17,25.0,17.5,13.75,25.0,12.5,13.75
18,37.5,15.0,17.5,25.0,12.5,13.75
19,0.0,12.5,15.0,0.0,10.0,11.25
20,12.5,15.0,15.0,0.0,10.0,10.0
21,12.5,17.5,16.25,12.5,12.5,10.0
22,0.0,12.5,15.0,12.5,10.0,11.25
23,25.0,10.0,12.5,12.5,7.5,10.0
24,12.5,12.5,12.5,25.0,12.5,11.25
25,12.5,12.5,13.75,12.5,15.0,12.5
26,12.5,12.5,15.0,50.0,22.5,17.5
27,0.0,12.5,12.5,0.0,20.0,15.0
28,12.5,10.0,10.0,0.0,17.5,12.5
29,12.5,10.0,11.25,12.5,15.0,13.75
30,25.0,12.5,12.5,37.5,20.0,17.5
31,0.0,10.0,11.25,0.0,10.0,16.25
32,12.5,12.5,12.5,25.0,15.0,17.5
33,25.0,15.0,12.5,25.0,20.0,18.75
34,25.0,17.5,13.75,50.0,27.5,21.25
35,12.5,15.0,13.75,12.5,22.5,21.25
36,12.5,17.5,13.75,12.5,25.0,17.5
37,37.5,22.5,17.5,25.0,25.0,20.0
38,25.0,22.5,18.75,37.5,27.5,23.75
39,12.5,20.0,18.75,0.0,17.5,22.5
40,12.5,20.0,17.5,0.0,15.0,18.75
41,12.5,20.0,18.75,0.0,12.5,18.75
42,12.5,15.0,18.75,0.0,7.5,16.25
43,0.0,10.0,16.25,0.0,0.0,13.75
44,25.0,12.5,16.25,37.5,7.5,12.5
45,12.5,12.5,16.25,0.0,7.5,11.25
46,25.0,15.0,17.5,25.0,12.5,12.5
47,0.0,12.5,13.75,0.0,12.5,10.0
48,12.5,15.0,12.5,0.0,12.5,6.25
49,12.5,12.5,12.5,12.5,7.5,7.5
50,12.5,12.5,12.5,25.0,12.5,10.0
51,12.5,10.0,12.5,25.0,12.5,12.5
52,25.0,15.0,13.75,12.5,15.0,13.75
53,50.0,22.5,18.75,0.0,15.0,13.75
54,0.0,20.0,16.25,12.5,15.0,11.25
55,12.5,20.0,16.25,12.5,12.5,12.5
56,12.5,20.0,15.0,25.0,12.5,12.5
57,25.0,20.0,17.5,25.0,15.0,15.0
58,0.0,10.0,16.25,12.5,17.5,16.25
59,37.5,17.5,18.75,0.0,15.0,15.0
60,37.5,22.5,21.25,25.0,17.5,15.0
61,0.0,20.0,20.0,25.0,17.5,15.0
62,0.0,15.0,17.5,25.0,17.5,16.25
63,37.5,22.5,16.25,37.5,22.5,20.0
64,12.5,17.5,17.5,37.5,30.0,22.5
65,25.0,15.0,18.75,0.0,25.0,21.25
66,0.0,15.0,17.5,12.5,22.5,20.0
67,0.0,15.0,15.0,25.0,22.5,20.0
68,12.5,10.0,16.25,0.0,15.0,18.75
69,25.0,12.5,15.0,12.5,10.0,20.0
70,37.5,15.0,15.0,25.0,15.0,20.0
71,37.5,22.5,18.75,12.5,15.0,18.75
72,12.5,25.0,20.0,0.0,10.0,16.25
73,37.5,30.0,20.0,25.0,15.0,15.0
74,12.5,27.5,20.0,12.5,15.0,12.5
75,12.5,22.5,18.75,12.5,12.5,13.75
76,12.5,17.5,20.0,25.0,15.0,15.0
77,0.0,15.0,20.0,0.0,15.0,12.5
78,0.0,7.5,18.75,12.5,12.5,13.75
79,12.5,7.5,17.5,25.0,15.0,15.0
80,12.5,7.5,15.0,12.5,15.0,13.75
81,37.5,12.5,15.0,25.0,15.0,15.0
82,12.5,15.0,15.0,12.5,17.5,16.25
83,12.5,17.5,12.5,12.5,17.5,15.0
84,12.5,17.5,12.5,25.0,17.5,16.25
85,0.0,15.0,11.25,12.5,17.5,16.25
86,0.0,7.5,10.0,25.0,17.5,16.25
87,12.5,7.5,11.25,12.5,17.5,17.5
88,0.0,5.0,11.25,0.0,15.0,16.25
89,12.5,5.0,11.25,25.0,15.0,16.25
90,25.0,10.0,12.5,12.5,15.0,16.25
91,0.0,10.0,8.75,0.0,10.0,13.75
92,12.5,10.0,8.75,25.0,12.5,15.0
93,12.5,12.5,8.75,12.5,15.0,15.0
94,37.5,17.5,11.25,12.5,12.5,13.75
95,0.0,12.5,11.25,12.5,12.5,13.75
96,12.5,15.0,12.5,25.0,17.5,13.75
97,12.5,15.0,12.5,0.0,12.5,12.5
98,25.0,17.5,15.0,37.5,17.5,16.25
99,25.0,15.0,16.25,0.0,15.0,13.75
100,12.5,17.5,15.0,0.0,12.5,12.5
101,25.0,20.0,17.5,37.5,15.0,16.25
102,0.0,17.5,16.25,12.5,17.5,15.0
103,12.5,15.0,16.25,0.0,10.0,13.75
104,25.0,15.0,15.0,12.5,12.5,13.75
105,12.5,15.0,16.25,0.0,12.5,12.5
106,0.0,10.0,15.0,0.0,5.0,10.0
107,12.5,12.5,15.0,12.5,5.0,11.25
108,0.0,10.0,12.5,12.5,7.5,8.75
109,25.0,10.0,12.5,12.5,7.5,10.0
110,0.0,7.5,11.25,12.5,10.0,11.25
111,37.5,15.0,12.5,50.0,20.0,12.5
112,25.0,17.5,15.0,50.0,27.5,16.25
113,25.0,22.5,16.25,12.5,27.5,17.5
114,0.0,17.5,13.75,0.0,25.0,16.25
115,0.0,17.5,12.5,0.0,22.5,16.25
116,25.0,15.0,15.0,12.5,15.0,17.5
117,37.5,17.5,17.5,37.5,12.5,20.0
118,12.5,15.0,18.75,25.0,15.0,21.25
119,0.0,15.0,16.25,12.5,17.5,21.25
120,0.0,15.0,16.25,0.0,17.5,20.0
121,25.0,15.0,15.0,25.0,20.0,17.5
122,12.5,10.0,13.75,0.0,12.5,12.5
123,12.5,10.0,12.5,25.0,12.5,13.75
124,25.0,15.0,15.0,12.5,12.5,15.0
125,37.5,22.5,18.75,25.0,17.5,17.5
126,25.0,22.5,18.75,25.0,17.5,18.75
127,37.5,27.5,18.75,75.0,32.5,22.5
128,25.0,30.0,20.0,12.5,30.0,21.25
129,25.0,30.0,22.5,37.5,35.0,23.75
130,25.0,27.5,25.0,25.0,35.0,26.25
131,0.0,22.5,22.5,12.5,32.5,25.0
132,12.5,17.5,22.5,0.0,17.5,25.0
